season,game_number,date,start_time,opponent,tournament,venue,result,unc_score,opponent_score,attendance
2013-14,15,Jan 8(Wed),9:00 PM,Miami,,Dean E. Smith Center,"L, 57-63",57,63,17569.0
2013-14,16,Jan 11(Sat),12:00 PM,Syracuse,,JMA Wireless Dome,"L, 45-57",45,57,32121.0
2013-14,17,Jan 18(Sat),12:00 PM,Boston College,,Dean E. Smith Center,"W, 82-71",82,71,18115.0
2013-14,18,Jan 20(Mon),7:00 PM,Virginia,,John Paul Jones Arena,"L, 61-76",61,76,13045.0
2013-14,19,Jan 26(Sun),6:00 PM,Clemson,,Dean E. Smith Center,"W, 80-61",80,61,18616.0
2013-14,20,Jan 29(Wed),7:00 PM,Georgia Tech,,McCamish Pavilion,"W, 78-65",78,65,5124.0
2013-14,21,Feb 1(Sat),1:00 PM,NC State,,Dean E. Smith Center,"W, 84-70",84,70,21750.0
2013-14,22,Feb 4(Tue),8:00 PM,Maryland,,Dean E. Smith Center,"W, 75-63",75,63,17225.0
2013-14,23,Feb 8(Sat),12:00 PM,Notre Dame,,Purcell Pavilion,"W, 73-62",73,62,9149.0
2013-14,24,Feb 15(Sat),1:00 PM,Pittsburgh,,Dean E. Smith Center,"W, 75-71",75,71,20341.0
2013-14,25,Feb 17(Mon),7:00 PM,Florida State,,Donald L. Tucker Civic Center,"W, 81-75",81,75,7814.0
2013-14,26,Feb 20(Thu),9:00 PM,Duke,,Dean E. Smith Center,"W, 74-66",74,66,21750.0
2013-14,27,Feb 22(Sat),12:00 PM,Wake Forest,,Dean E. Smith Center,"W, 105-72",105,72,19248.0
2013-14,28,Feb 26(Wed),8:00 PM,NC State,,Lenovo Center,"W, 85-84",85,84,19500.0
2013-14,29,Mar 1(Sat),2:30 PM,Virginia Tech,,Cassell Coliseum,"W, 60-56",60,56,6546.0
2013-14,30,Mar 3(Mon),7:00 PM,Notre Dame,,Dean E. Smith Center,"W, 63-61",63,61,15175.0
2013-14,31,Mar 8(Sat),9:00 PM,Duke,,Cameron Indoor Stadium,"L, 81-93",81,93,9314.0
2013-14,32,Mar 14(Fri),2:30 PM,Pittsburgh,ACC Tournament,Greensboro Coliseum,"L, 75-80",75,80,21533.0
2013-14,33,Mar 21(Fri),7:20 PM,Providence,NCAA Tournament,AT&T Center,"W, 79-77",79,77,
2013-14,34,Mar 23(Sun),5:15 PM,Iowa State,NCAA Tournament,AT&T Center,"L, 83-85",83,85,
2014-15,1,Nov 14(Fri),8:00 PM,NC Central,,Dean E. Smith Center,"W, 76-60",76,60,17338.0
2014-15,2,Nov 16(Sun),6:00 PM,Robert Morris,Battle 4 Atlantis,Dean E. Smith Center,"W, 103-59",103,59,13579.0
2014-15,3,Nov 22(Sat),2:00 PM,Davidson,,Spectrum Center,"W, 90-72",90,72,11113.0
2014-15,4,Nov 26(Wed),12:00 PM,Butler,Battle 4 Atlantis,Imperial Arena,"L, 66-74",66,74,3136.0
2014-15,5,Nov 27(Thu),7:00 PM,UCLA,Battle 4 Atlantis,Imperial Arena,"W, 78-56",78,56,2940.0
2014-15,6,Nov 28(Fri),8:00 PM,Florida,Battle 4 Atlantis,Imperial Arena,"W, 75-64",75,64,3298.0
2014-15,7,Dec 3(Wed),7:30 PM,Iowa,ACC/Big Ten Challenge,Dean E. Smith Center,"L, 55-60",55,60,18040.0
2014-15,8,Dec 7(Sun),3:00 PM,East Carolina,,Dean E. Smith Center,"W, 108-64",108,64,18741.0
2014-15,9,Dec 13(Sat),12:00 PM,Kentucky,,Rupp Arena,"L, 70-84",70,84,24406.0
2014-15,10,Dec 16(Tue),7:00 PM,UNC Greensboro,,Greensboro Coliseum,"W, 79-56",79,56,11108.0
2014-15,11,Dec 20(Sat),1:00 PM,Ohio State,CBS Sports Classic,United Center,"W, 82-74",82,74,
2014-15,12,Dec 27(Sat),4:00 PM,UAB,,Dean E. Smith Center,"W, 89-58",89,58,19124.0
2014-15,13,Dec 30(Tue),7:00 PM,William & Mary,,Dean E. Smith Center,"W, 86-64",86,64,20053.0
2014-15,14,Jan 3(Sat),8:15 PM,Clemson,,Littlejohn Coliseum,"W, 74-50",74,50,8404.0
2014-15,15,Jan 5(Mon),7:00 PM,Notre Dame,,Dean E. Smith Center,"L, 70-71",70,71,20604.0
2014-15,16,Jan 10(Sat),2:00 PM,Louisville,,Dean E. Smith Center,"W, 72-71",72,71,21750.0
2014-15,17,Jan 14(Wed),7:00 PM,NC State,,Lenovo Center,"W, 81-79",81,79,19500.0
2014-15,18,Jan 18(Sun),6:30 PM,Virginia Tech,,Dean E. Smith Center,"W, 68-53",68,53,19745.0
