season,game_number,date,start_time,opponent,tournament,venue,promotion,result,ncstate_score,opponent_score,attendance
2017,14,Mar 10(Fri),6:00 PM,Wake Forest,,David F. Couch Ballpark,,"L, 4-6",4,6,712
2017,15,Mar 11(Sat),1:00 PM,Wake Forest,,David F. Couch Ballpark,,"W, 8-5",8,5,753
2017,16,Mar 11(Sat),5:00 PM,Wake Forest,,David F. Couch Ballpark,,"L, 5-6",5,6,753
2017,17,Mar 14(Tue),4:00 PM,Elon,,Latham Park,,"W, 6-2",6,2,389
2017,18,Mar 15(Wed),3:00 PM,George Mason,,Doak Field,,"W, 7-3",7,3,1984
2017,19,Mar 17(Fri),6:30 PM,Miami,,Doak Field,,"W, 5-3",5,3,2463
2017,20,Mar 18(Sat),6:30 PM,Miami,,Doak Field,,"W, 5-2",5,2,2511
2017,21,Mar 19(Sun),12:00 PM,Miami,,Doak Field,,"L, 5-7",5,7,2897
2017,22,Mar 21(Tue),6:00 PM,Campbell,,Doak Field,,"L, 8-9",8,9,2610
2017,23,Mar 24(Fri),6:30 PM,Louisville,,Doak Field,,"W, 3-1",3,1,2824
2017,24,Mar 25(Sat),1:00 PM,Louisville,,Doak Field,,"L, 6-7",6,7,3048
2017,25,Mar 26(Sun),1:00 PM,Louisville,,Doak Field,,"L, 1-8",1,8,2821
2017,26,Mar 28(Tue),7:05 PM,Charlotte,,Truist Field,,"W, 15-10",15,10,6445
2017,27,Mar 31(Fri),6:05 PM,Notre Dame,,Frank Eck Stadium,,"L, 1-4",1,4,314
2017,28,Apr 1(Sat),4:05 PM,Notre Dame,,Frank Eck Stadium,,"L, 1-2",1,2,569
2017,29,Apr 2(Sun),1:05 PM,Notre Dame,,Frank Eck Stadium,,"W, 9-2",9,2,409
2017,30,Apr 4(Tue),6:00 PM,UNC Asheville,,Doak Field,,"W, 13-1",13,1,2264
2017,31,Apr 7(Fri),6:30 PM,Florida State,,Doak Field,,"L, 7-16",7,16,2853
2017,32,Apr 8(Sat),6:30 PM,Florida State,,Doak Field,,"W, 4-3",4,3,2975
2017,33,Apr 9(Sun),1:00 PM,Florida State,,Doak Field,,"W, 8-4",8,4,2858
2017,34,Apr 11(Tue),6:00 PM,UNC Greensboro,,Doak Field,,"W, 10-1",10,1,2554
2017,35,Apr 14(Fri),6:30 PM,North Carolina,,Boshamer Stadium,,"L, 2-7",2,7,3906
2017,36,Apr 15(Sat),4:00 PM,North Carolina,,Boshamer Stadium,,"L, 1-7",1,7,3613
2017,37,Apr 16(Sun),2:00 PM,North Carolina,,Boshamer Stadium,,"W, 4-2",4,2,2552
2017,39,Apr 22(Sat),4:00 PM,Boston College,,Fenway Park,SIXTH ANNUAL ALS AWARENESS GAME,"L, 3-8",3,8,3603
2017,40,Apr 23(Sun),10:30 AM,Boston College,,Harrington Field,,"L, 1-2",1,2,402
2017,41,Apr 23(Sun),1:45 PM,Boston College,,Harrington Field,,"L, 0-1",0,1,627
2017,42,Apr 25(Tue),6:00 PM,NC Central,,Doak Field,,"W, 13-0",13,0,2430
2017,43,Apr 26(Wed),7:00 PM,East Carolina,,Clark-LeClair Stadium,,"W, 6-0",6,0,4181
